"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BZ1","1","Buzzer","","","","Inductor_SMD:L_SXN_SMDRI73","~"
"C1,C2,C3,C4,C5,C6,C15,C16,C22","9","1u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C7,C8","2","10u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C9,C10,C11,C12,C14,C21","6","100n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C17,C18","2","30p","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D1,D2,D3","3","LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"FB1","1","120R","","","","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","~"
"H1,H2,H3,H4","4","MountingHole","","Vyloučit z BOM","","MountingHole:MountingHole_3.2mm_M3","~"
"IC1","1","Lineární Regulátor","","","","Package_TO_SOT_SMD:TSOT-23-5_HandSoldering","https://www.onsemi.com/pub/Collateral/NCP718-D.PDF"
"IC3","1","Lineární Regulátor Displaye","","","","Package_TO_SOT_SMD:TSOT-23-5_HandSoldering","https://www.onsemi.com/pub/Collateral/NCP718-D.PDF"
"J1","1","USB Konektor","","","","47436:473460001","http://www.molex.com/pdm_docs/sd/473460001_sd.pdf"
"J2","1","SWD","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J3","1","LCD konektor","","","","FFC2A32-20-T:GCT_FFC2A32-20-T",""
"J4","1","Baterie","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Horizontal","~"
"J5","1","GSD090012SEU","","","","gsd09:GSD090012SEU_AMP","GSD090012SEU"
"J6","1","UART","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J7","1","Kamera","","","","Connector_PinSocket_2.54mm:PinSocket_2x11_P2.54mm_Vertical","~"
"J9","1","Conn_01x11_Socket","","","","Connector_PinSocket_2.54mm:PinSocket_1x11_P2.54mm_Horizontal","~"
"R1,R2,R3,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R26","20","4.7k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R4,R5,R6,R7,R25","5","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R8","1","2","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"S1","1","Zapínací spínač","","","","mfs:MFS201N24Z",""
"S2","1","tlačítko doleva","","","","mc3:MC32829",""
"S3","1","prostřední tlačítko","","","","mc3:MC32829",""
"S4","1","tlačítko doprava","","","","mc3:MC32829",""
"S5","1","spínač","","","","cfs201mb:CFS0201MB","https://www.nidec-copal-electronics.com/e/catalog/switch/cfs.pdf"
"TH1","1","10k","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Horizontal","~"
"U1","1","STM32L496RETx","","","","Package_QFP:LQFP-64_10x10mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32l496re.pdf"
"U2","1","MCP73833-FCI/UN","","","","MCP:MSOP10_MC_MCH","MCP73833-FCI/UN"
"Y1","1","8mhz krystal","","","","hc4:HC49S830507030ATF",""
